date,med_temp,med_hum,pm25,o3,no2
2020-04-22,20.6,58.737364801849,79,88,12
2020-04-23,23.2,51.5385297774227,70,80,12
2020-04-24,20.9,54.9278843529473,66,84,14
2020-04-25,18.95,69.5494288823363,77,63,11
2020-04-26,17.85,73.0032540070352,77,68,7
2020-04-27,19.5,62.9343959665216,60,84,9
2020-04-28,20.6,44.1034182245476,38,70,12
2020-04-29,22.4,48.3685765423316,55,67,12
2020-04-30,20.6,48.464849897629,58,81,12
2020-05-01,15.55,69.0125852338109,48,67,11
2020-05-02,14.5,78.3819448130629,42,88,11
2020-05-03,22.7,47.2103833050367,49,84,9
2020-05-04,26.4,34.1652060301719,49,72,9
2020-05-05,24.05,44.8417386769968,47,78,10
2020-05-06,24.5,44.6371979018679,60,83,9
2020-05-07,18.35,73.0221977109562,57,48,14
2020-05-08,19.8,60.4386055971999,59,65,11
2020-05-09,19.7,59.7038461154308,64,72,12
2020-05-10,18.7,68.9912967579529,82,84,9
2020-05-11,22.8,54.9787648748952,60,79,11
2020-05-12,18.8,67.3010741193524,45,73,11
2020-05-13,25.4,43.8755847568322,66,65,10
2020-05-14,22,44.656094854682,75,72,12
2020-05-16,24.3,47.2775220478771,86,50,10
2020-05-17,23.3,48.208872639381,53,82,9
2020-05-18,24.35,49.868780483702,60,92,10
2020-05-23,23.45,58.3049767600256,95,88,12
2020-05-24,23.2,54.8510946201998,74,NaN,8
2020-05-25,24.5,42.2797803747884,79,NaN,13
2020-05-26,25.4,27.9443341257259,74,NaN,13
2020-05-27,23.9,38.7700810144134,85,NaN,11
2020-05-28,23.6,36.1413770872663,118,92,14
2020-05-29,19.5,53.9140316039329,88,66,12
2020-05-30,17.1,65.7074281863356,54,57,10
2020-05-31,20.6,57.9723170386397,49,72,9
2020-06-01,15.65,81.0374196938809,53,72,10
2020-06-02,19.9,58.6717585626367,60,56,9
2020-06-03,18.7,66.0763979620736,59,26,6
2020-06-04,23,51.0400701347408,36,47,9
2020-06-05,21.6,52.458174944789,43,61,8
2020-06-06,26.4,47.6944418812232,45,64,8
2020-06-07,25.4,59.0284034843946,44,57,7
2020-06-08,22.2,65.1760208228959,50,73,7
2020-06-09,23.2,44.4597431824791,41,83,12
2020-06-10,22.4,49.1588069171004,46,64,11
2020-06-11,17.2,70.3842485834959,52,45,9
2020-06-12,17.8,53.6586214856268,49,38,7
2020-06-13,19,56.20854806872,29,57,8
2020-06-14,20.2,60.3182797510224,40,66,8
2020-06-15,22.05,55.9964748840086,53,72,11
2020-06-16,19.8,54.966420117928,65,97,12
2020-06-17,21,52.3934882492358,63,88,12
2020-06-18,22.3,48.2855519173727,63,64,11
2020-06-19,21.9,48.5253267447804,59,76,8
2020-06-20,25.1,48.3092181490175,47,64,8
2020-06-22,16.3,81.3649863374547,60,51,17
2020-06-23,21.2,50.6034429839953,60,56,11
2020-06-24,19.1,61.7861164385133,42,15,12
2020-06-25,19.8,62.158076357557,38,23,11
2020-06-26,21.3,57.4657980159433,36,37,10
2020-06-27,21.3,62.4768639605552,41,82,9
2020-06-28,22.7,56.0821912649684,62,59,7
2020-06-29,21.85,53.8623044054456,65,66,13
2020-06-30,21.3,56.1413844839322,69,85,11
2020-07-01,20.4,61.0429065007144,58,60,10
2020-07-02,21.2,53.6015778265967,39,76,12
2020-07-03,18.9,56.7150237033735,64,63,10
2020-07-04,20.2,57.583635647937,51,67,10
2020-07-05,19.1,67.0944602079645,57,50,8
2020-07-06,17.6,78.2650353043336,50,52,12
2020-07-07,21.9,48.509575691105,38,36,12
2020-07-08,20.3,54.6584647477008,28,19,11
2020-07-09,19.1,62.3337198923008,22,61,16
2020-07-10,20.3,50.835491214079,43,61,15
2020-07-11,19.7,60.5743074012691,50,46,9
2020-07-12,23.7,49.2390717758033,38,55,8
2020-07-13,19.1,61.3865968384588,38,75,13
2020-07-14,22.4,46.4746065769413,48,84,12
2020-07-15,21.5,55.293815372129,52,73,12
2020-07-16,21.5,52.0653030006005,53,74,11
2020-07-17,21.1,48.8728425588334,60,54,9
2020-07-18,18.1,69.9730638830045,62,58,10
2020-07-19,23.75,44.2241441594992,64,58,8
2020-07-20,19.95,49.9999212384817,61,85,15
2020-07-21,20.6,59.2293349966077,67,74,13
2020-07-22,21.3,56.4925899303342,59,77,12
2020-07-23,20.2,58.7253806125299,42,75,12
2020-07-25,19.55,64.1256101408848,42,80,11
2020-07-26,17.2,83.1859870034749,57,38,11
2020-07-27,19.7,65.4281811380002,38,37,10
2020-07-28,24.9,52.1672816651466,36,26,8
2020-07-29,20.5,67.3009389969406,31,29,15
2020-07-30,22.5,51.5924691836167,39,64,18
2020-07-31,21.4,62.0547082233739,61,35,14
2020-08-01,16.8,79.231813908245,49,39,15
2020-08-02,18.1,76.1291251277446,51,46,11
2020-08-03,17.2,83.2730298393984,57,40,18
2020-08-04,22.2,57.9530121254372,52,69,15
