date,med_temp,med_hum,pm25,pm10
2020-03-02,25.5,51.2052181135142,70,67
2020-03-03,22.4,79.1839983791406,68,86
2020-03-04,24,71.5237563396112,119,87
2020-03-05,24.4,36.3932734079346,72,36
2020-03-06,20,52.0124996611471,33,35
2020-03-07,17.5,65.8516570484543,31,44
2020-03-08,21.9,56.8010888502966,56,41
2020-03-09,21.4,66.5725435776909,77,49
2020-03-10,22.1,72.2378638124266,76,64
2020-03-11,23.9,69.2632506505175,93,49
2020-03-12,26.8,66.3666725986702,82,66
2020-03-13,28,60.5752401563612,86,73
2020-03-14,28.4,57.7043384017489,91,67
2020-03-15,28.7,56.2377965067401,107,51
2020-03-16,22.2,83.5915897554101,57,NaN
2020-03-17,22.2,83.04910670305,NaN,NaN
2020-03-18,26,75.0472061826021,NaN,NaN
2020-03-19,30,53.6796093563484,NaN,NaN
2020-03-20,30.6,49.106393686647,NaN,46
2020-03-22,17.6,88.7105794375734,49,42
2020-03-23,19.5,90.6442194917932,91,62
2020-03-24,26.2,76.1565574396408,108,69
2020-03-25,28.7,61.6319209866655,89,47
2020-03-26,25.3,83.0094097780609,66,62
2020-03-28,26,79.1510549798274,90,65
2020-03-29,20.8,72.2715104008136,77,43
2020-03-30,18,92.7524876140249,68,74
2020-03-31,26.2,49.3104858438459,122,55
2020-04-02,24.6,80.4510593851895,56,48
2020-04-03,22.9,94.4111645195896,77,48
2020-04-04,18.7,94.6298666011848,77,39
2020-04-05,16.2,96.2830078785062,68,20
2020-04-06,17.2,98.1327855666156,52,39
2020-04-07,20.8,98.1786810331173,72,39
2020-04-08,22.6,89.636471074014,83,50
2020-04-11,21,91.7573737706663,70,34
2020-04-12,23,66.2018387163469,72,59
2020-04-14,17.6,92.7956431495892,67,29
2020-04-15,12.1,96.7955543150205,66,5
2020-04-16,14.2,95.935190070568,28,18
2020-04-17,17.7,95.412910200255,45,38
2020-04-18,22,87.7093970073233,71,27
2020-04-19,24,83.5189504099882,60,37
2020-04-20,22.8,68.9372905709326,36,41
2020-04-21,23.9,86.9100216467523,60,57
2020-04-22,28.5,77.7036532685804,129,57
2020-04-23,27.2,71.076821878941,126,39
2020-04-24,27.7,65.7225758782472,70,49
2020-04-25,27.1,57.9004602234583,68,57
2020-04-26,19.3,96.3676372053392,95,16
2020-04-27,23,85.6813167958331,56,29
2020-04-28,27.4,71.9114076344175,59,41
2020-04-29,30.7,41.1190280528122,73,38
2020-04-30,23.8,69.3489762206322,48,22
2020-05-01,21.2,63.8848166626205,49,36
2020-05-02,30.1,61.5481972393073,52,39
2020-05-03,27.5,70.8574362395409,62,36
2020-05-04,31.6,50.486441477878,65,37
2020-05-05,31.1,62.1483554128174,67,51
2020-05-06,30.4,48.1757370777637,87,24
2020-05-07,26.6,62.6651117455449,49,28
2020-05-08,24.3,75.8874209558454,53,43
2020-05-09,19.2,90.2751763088551,70,21
2020-05-10,19.6,92.8303945431897,42,20
2020-05-11,23.4,79.0221898668087,54,23
2020-05-12,24.4,72.4808148201772,33,31
2020-05-13,25.6,78.2076724091882,61,32
2020-05-14,25.1,87.6756486694094,60,21
2020-05-15,30.2,57.5063477829117,50,46
2020-05-17,22.8,62.7253202605246,85,28
2020-05-18,27.9,65.0818466279122,52,37
2020-05-19,29,57.2909782801935,55,43
2020-05-20,30.2,54.7339758940868,65,52
2020-05-21,29.6,58.2866397830916,77,43
2020-05-22,27.6,73.3578404045974,93,40
2020-05-24,25.9,77.2341164764726,66,25
2020-05-25,23.6,82.1046343562603,60,32
2020-05-26,26.9,74.3614859849651,64,17
2020-05-27,23.8,87.545288215485,46,31
2020-05-28,25.2,80.4419242578157,51,40
2020-05-29,25.9,61.991714945091,66,29
2020-05-31,23,83.366126145797,49,25
2020-06-01,21.2,93.1789269712734,52,31
2020-06-02,23,97.0251355797748,48,22
2020-06-03,25.6,79.1010048229443,36,28
2020-06-04,24.8,82.5028112170889,45,18
2020-06-05,28.4,72.5876777640104,46,27
2020-06-06,24.8,84.0261471914088,51,24
2020-06-07,29,54.8079564379081,43,22
2020-06-08,28.4,66.2527475710153,37,36
2020-06-09,31.6,59.2292364285243,47,54
2020-06-10,23.3,78.3954327807963,71,23
2020-06-11,24.9,84.8589292959282,52,25
2020-06-12,21.6,96.4204244621315,52,30
2020-06-13,26,59.5310663561613,50,24
2020-06-14,24.2,65.8799178539489,44,22
2020-06-15,27.8,50.4026506926853,47,28
2020-06-16,27,57.7941011534661,50,NaN
2020-06-17,27.2,68.097648498682,NaN,22
2020-06-18,25,89.2421280515783,45,28
2020-06-19,27.4,61.718739168013,47,32
2020-06-20,24.7,84.1395080382145,49,26
2020-06-21,30.4,63.194724517402,53,28
2020-06-22,28.4,67.4240509936029,57,39
2020-06-23,31.6,58.8699730598091,61,43
2020-06-24,30,62.294213899058,70,47
2020-06-26,25,84.5099656120794,56,28
2020-06-27,24.8,86.0448721039708,51,63
2020-06-28,25,92.3057894186174,95,36
2020-06-29,24.2,95.3149657146789,58,42
2020-06-30,26.8,89.363949084937,63,57
2020-07-01,28.6,78.1589154858895,86,62
2020-07-02,27.6,78.3989023683841,90,60
2020-07-03,30.4,65.0227363859299,94,60
2020-07-04,26.1,78.42058537121,85,45
2020-07-06,31.4,47.8972041935495,55,46
2020-07-07,29.3,65.5488429761801,64,48
2020-07-08,26.9,80.647256702378,77,48
2020-07-09,32.2,57.2291787078574,75,46
2020-07-10,29.6,58.8142754387261,72,46
2020-07-11,32.8,53.6420558367136,68,38
2020-07-13,34.4,35.6336349926639,49,49
2020-07-14,28.2,60.3201816451526,55,52
2020-07-15,31.2,52.0741263276002,66,56
2020-07-16,29.2,58.3681301194089,77,61
2020-07-17,32.9,57.9760832589203,80,64
2020-07-18,26.5,75.9947435329583,84,54
2020-07-21,26.4,76.8299381775151,68,51
2020-07-22,25.6,78.4037004459226,68,39
2020-07-23,28.5,69.3741086784869,57,31
2020-07-24,28.9,68.2088615271481,43,28
2020-07-25,28.4,74.8139536910717,40,34
2020-07-28,23.2,96.425228940154,43,22
2020-07-29,22.8,93.5492446403293,47,27
2020-07-30,23.8,85.9568481647566,49,27
2020-07-31,28,72.086395246346,50,56
2020-08-01,25.8,90.1415463425991,74,26
2020-08-03,23.3,90.5387543778904,43,35
2020-08-04,29.4,54.2169729647821,46,36
