date,med_temp,med_hum,pm25,o3,no2
2020-04-23,22.75,38.3694868696104,90,61,18
2020-04-24,22,36.7204396362425,78,66,22
2020-04-25,19.5,48.3665918350526,109,50,17
2020-04-26,18.5,52.3432988876841,91,48,9
2020-04-27,18.5,52.3432988876841,65,58,10
2020-04-28,22,26.2729940758496,67,54,16
2020-04-29,18.3125,50.3512498336287,81,59,19
2020-04-30,18,46.7808808195377,73,52,13
2020-05-01,14.5,63.8462709443114,53,65,16
2020-05-02,16,51.9704967179289,67,67,16
2020-05-03,19.5,44.805071796934,70,62,11
2020-05-04,21.25,28.3847499227824,62,57,15
2020-05-05,22.5,28.7809227891673,58,53,12
2020-05-06,16.8333333333333,61.5294912147995,67,52,12
2020-05-07,15.5,72.2348156476821,64,48,15
2020-05-08,17,60.5243678404076,72,68,19
2020-05-09,19,55.2903786528921,78,62,12
2020-05-10,15.5,77.0254286471061,76,60,9
2020-05-11,16,63.7029701443362,53,64,13
2020-05-12,18,59.4971715419852,54,73,21
2020-05-13,21.25,35.4796650715505,72,51,19
2020-05-14,22.5,30.6220571720404,112,72,17
2020-05-15,22,33.3963872805656,136,58,17
2020-05-16,22.5,23.6863306232937,102,48,14
2020-05-17,21.5,25.2197891975217,101,60,13
2020-05-18,21.25,39.0893974860042,80,68,14
2020-05-19,18.1428571428571,55.6225285732721,83,71,17
2020-05-20,22.5,29.8350318862029,82,81,20
2020-05-21,22.625,36.9983306142496,121,74,19
2020-05-22,21,37.3644364276313,139,78,18
2020-05-23,19.75,46.8671772529168,112,62,20
2020-05-24,23,31.1558755416151,98,57,11
2020-05-25,23,24.6867754640213,97,63,15
2020-05-26,23.5,17.7879605377354,76,64,14
2020-05-27,22.5,39.5122118974408,92,75,17
2020-05-28,21,37.904223040455,128,64,18
2020-05-29,16,59.2702866354825,111,46,14
2020-05-30,16.5,51.9692536734305,73,40,9
2020-05-31,17.1666666666667,55.3819424153031,58,44,9
2020-06-01,16,72.4057243076668,49,51,13
2020-06-02,19,56.2164222208207,87,41,8
2020-06-03,19,56.0962876114362,71,20,7
2020-06-04,19.5,52.5889894019345,28,30,8
2020-06-05,19.5,51.0079542080395,35,43,9
2020-06-06,18.5,55.8606315918386,52,46,9
2020-06-07,20.5,52.8690967115526,61,46,7
2020-06-08,19.3333333333333,64.0199563101339,48,54,10
2020-06-09,17.5,65.8875123732789,67,58,18
2020-06-10,19.75,51.0079542080395,75,42,14
2020-06-11,19,51.0045906874913,69,35,7
2020-06-12,17,57.5686044923775,54,30,7
2020-06-13,21.5,30.0981637291884,32,42,8
2020-06-14,18,48.7884130535361,37,56,8
2020-06-15,17,48.5300220452928,56,61,11
2020-06-16,17.5,50.2535357467493,69,63,10
2020-06-17,19.5,49.1711653840633,65,61,10
2020-06-18,20.5,47.8179959560676,73,46,9
2020-06-19,20,49.1711653840633,62,50,10
2020-06-20,20,51.3228999115604,58,45,12
2020-06-21,19,61.9887202640624,74,43,12
2020-06-22,19,64.0199563101339,71,42,18
2020-06-23,18,63.9522809928517,63,23,17
2020-06-24,15.5,74.7889209094549,57,32,15
2020-06-25,15.875,74.8733400557101,44,22,11
2020-06-26,15.8333333333333,77.5132117872352,44,39,11
2020-06-27,19.5,61.0302721563652,56,61,14
2020-06-28,20,46.308227193935,85,50,10
2020-06-29,20,56.0962876114362,86,43,17
2020-06-30,18.5,66.1453532903575,86,54,18
2020-07-01,20.25,56.4449660927371,64,40,9
2020-07-02,19.8333333333333,56.212909874135,63,50,13
2020-07-03,19,52.3432988876841,86,44,12
2020-07-04,17,63.5006985386173,65,45,14
2020-07-05,18,68.1499349749098,84,42,15
2020-07-06,16.5,79.0503839511129,69,44,18
2020-07-07,18,63.917036135318,59,30,14
2020-07-08,18,59.9436531996476,40,16,11
2020-07-09,18,65.9904325480948,21,32,16
2020-07-10,15,77.0987730791745,45,41,18
2020-07-11,19,54.1668792543357,52,38,12
2020-07-12,19,57.9089510588392,40,42,10
2020-07-13,17,72.4057243076668,45,48,16
2020-07-14,19.5,54.0981442197524,57,50,18
2020-07-15,19,71.5135998931368,67,50,17
2020-07-16,20,54.5248062649874,54,51,17
2020-07-17,20,56.212909874135,69,37,15
2020-07-18,17,67.9609087860558,76,43,16
2020-07-19,18,61.7748049676613,73,41,14
2020-07-20,16.75,64.5112272356644,80,63,15
2020-07-21,18,61.9887202640624,73,49,17
2020-07-22,19.8333333333333,58.7030613004122,66,46,17
2020-07-23,18,65.8875123732789,64,49,13
2020-07-24,20,56.4964173629284,66,53,15
2020-07-25,19.25,58.9291035872415,52,58,17
2020-07-26,18.6666666666667,64.0199563101339,65,30,11
2020-07-27,19,59.9436531996476,33,33,11
2020-07-28,19,61.7748049676613,43,24,9
2020-07-29,18.4,66.590692893021,25,25,16
2020-07-30,17,72.5745626001773,35,45,18
2020-07-31,18.3333333333333,70.548015627473,66,32,17
2020-08-01,16.25,80.0639722989752,48,38,21
2020-08-02,18,68.1499349749098,65,34,14
2020-08-03,18,72.4057243076668,67,37,14
2020-08-04,17,77.4599805387187,55,40,19
