date,med_temp,med_hum,pm25,o3
2020-05-08,24,57.2390837841855,80,43
2020-05-09,22,68.884553356274,78,38
2020-05-10,20,75.5542159782784,58,33
2020-05-11,20,64.3241724469097,50,40
2020-05-12,19,60.3806648453332,39,35
2020-05-13,18.5,59.9424695369325,28,36
2020-05-14,20,60.5957095730801,19,30
2020-05-15,21.5,60.7021015922241,33,31
2020-05-16,22,66.7624583898432,44,40
2020-05-17,21,65.983973279157,48,36
2020-05-18,20.5,67.2044905140238,52,26
2020-05-19,19,57.7967295767107,23,32
2020-05-20,20,59.7216145062422,20,34
2020-05-21,21.5,60.4881872092066,27,40
2020-05-22,21,60.4881872092066,46,36
2020-05-23,19,62.8418709655462,53,38
2020-05-24,20.5,68.6127589927181,44,38
2020-05-25,22,66.8527104026465,45,38
2020-05-26,24.5,57.4607819598728,46,41
2020-05-27,24,59.1346377856204,46,40
2020-05-28,21,73.2299383396842,38,29
2020-05-29,20,75.4048685369924,26,27
2020-05-30,20.5,64.2235152846019,37,27
2020-05-31,21,64.6239352534018,17,26
2020-06-01,23,59.0237886977768,26,37
2020-06-02,22.5,66.8527104026465,40,34
2020-06-03,26,51.0084023739423,60,45
2020-06-04,22,64.8208674490189,61,35
2020-06-05,20.5,62.1934199261124,54,25
2020-06-06,19,70.7138218401073,30,25
2020-06-07,21,64.4248296092174,17,29
2020-06-08,23.5,45.7216356635259,23,47
2020-06-09,32,5.70731316537415,42,40
2020-06-10,30,14.1189308479465,49,81
2020-06-11,27,32.2040958329729,86,53
2020-06-12,21,64.4248296092174,81,31
2020-06-13,21,60.4881872092066,52,32
2020-06-14,22.5,54.9954426790506,42,31
2020-06-15,21,64.6239352534018,47,31
2020-06-16,21,64.4248296092174,48,27
2020-06-17,21,64.3241724469097,47,30
2020-06-18,20,60.1633245676228,38,33
2020-06-19,20.5,64.3241724469097,46,36
2020-06-20,18.5,77.670969737085,39,31
2020-06-21,19.5,77.8096050953295,26,35
2020-06-22,22,68.884553356274,29,39
2020-06-23,21,73.0690205001984,41,36
2020-06-24,19.5,80.3106674120316,35,34
2020-06-25,20,77.7407165737864,25,39
2020-06-26,22,64.6239352534018,37,38
2020-06-27,22,66.8527104026465,31,31
2020-06-28,21,68.7040493306675,26,27
