date,med_temp,med_hum,pm25,o3,no2
2020-04-18,21.8,60.9032365301534,96,95,19
2020-04-19,20.7,69.5357829944741,104,80,11
2020-04-20,23.2,57.0693077443819,112,97,14
2020-04-21,20.5,61.4717652008678,97,79,12
2020-04-22,20.6,58.737364801849,84,81,12
2020-04-23,23.2,51.5385297774227,71,76,13
2020-04-24,20.9,54.9278843529473,67,82,14
2020-04-25,18.95,69.5494288823363,88,60,14
2020-04-26,17.85,73.0032540070352,82,63,9
2020-04-27,19.5,62.9343959665216,63,76,12
2020-04-28,20.6,44.1034182245476,43,66,12
2020-04-29,22.4,48.3685765423316,62,67,13
2020-04-30,20.6,48.464849897629,61,74,12
2020-05-01,15.55,69.0125852338109,46,66,12
2020-05-02,14.5,78.3819448130629,44,80,15
2020-05-03,22.7,47.2103833050367,62,79,9
2020-05-04,26.4,34.1652060301719,66,72,10
2020-05-05,24.05,44.8417386769968,58,79,12
2020-05-06,24.5,44.6371979018679,72,78,12
2020-05-07,18.35,73.0221977109562,53,48,16
2020-05-08,19.8,60.4386055971999,62,68,12
2020-05-09,19.7,59.7038461154308,67,68,13
2020-05-10,18.7,68.9912967579529,79,76,9
2020-05-11,22.8,54.9787648748952,57,73,10
2020-05-12,18.8,67.3010741193524,45,78,13
2020-05-13,25.4,43.8755847568322,69,59,11
2020-05-14,22,44.656094854682,80,70,12
2020-05-16,24.3,47.2775220478771,93,52,10
2020-05-17,23.3,48.208872639381,71,75,12
2020-05-18,24.35,49.868780483702,74,90,11
2020-05-23,23.45,58.3049767600256,105,74,15
2020-05-24,23.2,54.8510946201998,80,67,8
2020-05-25,24.5,42.2797803747884,80,78,11
2020-05-26,25.4,27.9443341257259,71,78,10
2020-05-27,23.9,38.7700810144134,87,96,15
2020-05-28,23.6,36.1413770872663,113,89,16
2020-05-29,19.5,53.9140316039329,96,62,14
2020-05-30,17.1,65.7074281863356,53,54,11
2020-05-31,20.6,57.9723170386397,44,62,9
2020-06-01,15.65,81.0374196938809,47,72,13
2020-06-02,19.9,58.6717585626367,69,61,10
2020-06-03,18.7,66.0763979620736,62,25,7
2020-06-04,23,51.0400701347408,26,41,9
2020-06-05,21.6,52.458174944789,39,26,10
2020-06-06,26.4,47.6944418812232,53,64,NaN
2020-06-07,25.4,59.0284034843946,51,55,NaN
2020-06-08,22.2,65.1760208228959,45,61,7
2020-06-09,23.2,44.4597431824791,45,87,15
2020-06-10,22.4,49.1588069171004,50,55,13
2020-06-11,17.2,70.3842485834959,52,46,7
2020-06-12,17.8,53.6586214856268,48,35,7
2020-06-13,19,56.20854806872,31,66,11
2020-06-14,20.2,60.3182797510224,36,71,9
2020-06-15,22.05,55.9964748840086,48,73,13
2020-06-16,19.8,54.966420117928,65,90,13
2020-06-17,21,52.3934882492358,65,108,14
2020-06-18,22.3,48.2855519173727,66,NaN,NaN
2020-06-19,21.9,48.5253267447804,NaN,NaN,NaN
2020-06-20,25.1,48.3092181490175,NaN,67,10
2020-06-22,16.3,81.3649863374547,NaN,57,15
2020-06-23,21.2,50.6034429839953,67,54,13
2020-06-24,19.1,61.7861164385133,44,28,9
2020-06-25,19.8,62.158076357557,31,4,10
2020-06-26,21.3,57.4657980159433,28,NaN,NaN
2020-06-27,21.3,62.4768639605552,NaN,70,7
2020-06-28,22.7,56.0821912649684,71,48,6
2020-06-29,21.85,53.8623044054456,66,56,14
2020-06-30,21.3,56.1413844839322,71,73,11
2020-07-01,20.4,61.0429065007144,61,49,8
2020-07-02,21.2,53.6015778265967,49,77,11
2020-07-03,18.9,56.7150237033735,60,60,11
2020-07-04,20.2,57.583635647937,55,64,12
2020-07-05,19.1,67.0944602079645,59,41,10
2020-07-06,17.6,78.2650353043336,49,36,11
2020-07-07,21.9,48.509575691105,30,31,9
2020-07-08,20.3,54.6584647477008,35,20,9
2020-07-09,19.1,62.3337198923008,25,64,18
2020-07-10,20.3,50.835491214079,51,59,18
2020-07-11,19.7,60.5743074012691,48,49,11
2020-07-12,23.7,49.2390717758033,36,48,9
2020-07-13,19.1,61.3865968384588,40,63,13
2020-07-14,22.4,46.4746065769413,41,74,16
2020-07-15,21.5,55.293815372129,61,61,12
2020-07-16,21.5,52.0653030006005,48,74,14
2020-07-17,21.1,48.8728425588334,63,47,10
2020-07-18,18.1,69.9730638830045,69,53,11
2020-07-19,23.75,44.2241441594992,69,63,10
2020-07-20,19.95,49.9999212384817,70,94,17
2020-07-21,20.6,59.2293349966077,66,69,14
2020-07-22,21.3,56.4925899303342,61,76,13
2020-07-23,20.2,58.7253806125299,42,72,14
2020-07-25,19.55,64.1256101408848,46,78,12
2020-07-26,17.2,83.1859870034749,60,38,9
2020-07-27,19.7,65.4281811380002,33,34,8
2020-07-28,24.9,52.1672816651466,31,27,7
2020-07-29,20.5,67.3009389969406,24,29,12
2020-07-30,22.5,51.5924691836167,29,64,18
2020-07-31,21.4,62.0547082233739,62,36,12
2020-08-01,16.8,79.231813908245,38,50,17
2020-08-02,18.1,76.1291251277446,53,47,15
2020-08-03,17.2,83.2730298393984,67,37,11
2020-08-04,22.2,57.9530121254372,48,50,21
