"","Date","NPI","Daily","Humidity","Temperature","pm25","pm10","no2","o3","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"117",2020-06-18,62.81999969,8,68.4,21.3,25,17,6.9,23.6,60,2020-06-18,1.07415342926531,1.07062584763453,0.986548355576652,1.14653455364333,10.7580624983933,10.5457341325537,8.17357188743694,8,2602
"118",2020-06-19,62.81999969,12,67.2,21.5,30,15,8.3,17.9,60,2020-06-19,1.07652107226771,1.07203737919781,0.991368611156036,1.14737811250519,10.9032069428746,10.5341178369684,8.17357188743694,8,2535
"119",2020-06-20,62.81999969,9,66.8,21.6,30,15,7.8,22.4,60,2020-06-20,1.07543309227103,1.06821963865411,0.99006070131959,1.14806783241231,11.0548992156014,10.535089633374,12.2603578311554,12,2349
"120",2020-06-21,62.81999969,8,63.8,20.5,25,10,5.1,26.9,60,2020-06-21,1.07708044196086,1.07139546147026,0.997317098390287,1.1621253181582,11.2115544779802,10.5492399068586,9.19526837336656,9,2096
"121",2020-06-22,62.81999969,6,44.2,25.7,25,9,7.8,24.8,60,2020-06-22,1.07608443353282,1.07252267416113,0.985394126376884,1.1544904436754,11.3708936578903,10.5769364323084,8.17357188743694,8,1241
"122",2020-06-23,62.81999969,0,39.3,27.1,34,12,9.2,28.5,60,2020-06-23,1.07399868949258,1.07131185946345,0.977211581196554,1.1541761855722,11.5327149675585,10.6181826030652,6.13017891557771,6,2353
"123",2020-06-24,62.81999969,7,45.8,24.9,38,16,11,32.1,60,2020-06-24,1.07098015679748,1.06639912668087,0.972936829515873,1.15412518148353,11.6965996763025,10.6728818105603,0,0,0
"124",2020-06-25,62.81999969,13,52.1,27,42,19,12.4,28.5,60,2020-06-25,1.06520668119377,1.06384189231881,0.971087766474034,1.15488437070705,11.8591421810301,10.7408513212105,7.15187540150733,7,923
"125",2020-06-26,62.81999969,16,50.1,26.2,42,16,13.3,27.7,60,2020-06-26,1.06163347571616,1.05999196784665,0.96261765032423,1.1523082643572,12.0175992442753,10.8215891367982,13.282054317085,13,2100
"126",2020-06-27,62.81999969,14,43,26.7,42,18,11,27.7,60,2020-06-27,1.05629976020267,1.05608349487203,0.962217257260321,1.1609837898923,12.1682031778537,10.9143300422103,16.3471437748739,16,1796
"127",2020-06-28,62.81999969,8,46.8,28.4,46,19,7.8,25.2,60,2020-06-28,1.04860926941798,1.04688844629705,0.948060899967571,1.14534182823214,12.3099787389583,11.0180467446139,14.3037508030147,14,1706
"128",2020-06-29,62.81999969,4,62.1,26.4,42,17,7.4,22.8,60,2020-06-29,1.04492749835138,1.04441787767523,0.955022582106758,1.15908522906412,12.4425292874489,11.1316267620671,8.17357188743694,8,1590
