date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-15,1.9727993369012182,1.9547540107728192,1.6793040868787867,2.2375388595880814,27.10935493996317,0.0,0.0,0,0
2020-02-16,1.9653768853943003,1.952365278811095,1.6985519353244463,2.2183909318098984,0.3844532914124047,0.0,0.0,0,0
2020-02-17,1.958319382414189,1.942211123879082,1.684946913378054,2.1846774995146223,5.452222312644377,0.0,0.0,0,0
2020-02-18,1.9473273599145207,1.9320292486625554,1.6984346740308585,2.1538756476817396,10.38876873588407,0.0,0.0,0,0
2020-02-19,1.9355142058462655,1.917434075180442,1.7114743288982117,2.1433026852747896,11.555599458919028,0.0,0.0,0,0
2020-02-20,1.926914518732828,1.9195313199463273,1.6856727225772403,2.098481681000304,12.472563218315669,0.0,0.0,0,0
2020-02-21,1.9160076452273977,1.9095529224124377,1.7223030962748247,2.1068531045268593,14.309034365241956,1.7687675755696193,0.0,0,0
2020-02-22,1.899040871893626,1.8884949536046713,1.669989610177361,2.051229860741197,16.55766323775798,2.756337482266136,0.0,0,0
2020-02-23,1.8796743188712954,1.8704014127980424,1.682606224822364,2.0382121633949084,18.993252095760514,3.455104054537805,0.0,0,0
2020-02-24,1.8542894018728786,1.8482248109275328,1.6749122775264087,2.0200801594871804,21.713232081486844,4.224071959894181,0.0,0,0
2020-02-25,1.8226365720338757,1.8103425676405211,1.6511157145545219,1.9821974509456937,24.79349885063067,5.243667460254405,4.453628943534898,3,91
2020-02-26,1.7889685247473666,1.7845145907964965,1.6358084027729367,1.9406860531309362,28.242944805375316,6.203454879973877,7.422714905891497,5,44
2020-02-27,1.7473081917099325,1.7445467795529614,1.6147182189897953,1.9113043556519036,32.055328521927336,7.48103386788715,14.845429811782994,10,91
2020-02-28,1.7045901038255797,1.7021373916805231,1.5552542686901536,1.8353735517186422,36.23019430632642,8.581273401936306,0.0,0,0
2020-02-29,1.658375695888769,1.6599784493426242,1.5242535221592228,1.7792130271063415,40.74898808261472,9.938700252290564,5.938171924713197,4,15
