"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"1",2020-02-24,0,NA,NA,104,49,30.7,28.9,-18,27,28,-32,-22,9,2020-02-24,1.98693293833913,1.97985284989651,1.79447383662206,2.13983287103152,166.480457795456,23.4993159191867,0,0,0
"2",2020-02-25,8,79.3,11.8,119,55,35.2,20.8,-22,3,8,-37,-23,11,2020-02-25,1.91209833679298,1.9070590815364,1.76648691919032,2.08338129468248,194.201353188317,30.1208213685723,23.7875692733565,8,263
"3",2020-02-26,0,40,9.2,89,39,26.6,32.1,-23,-7,-5,-40,-23,11,2020-02-26,1.83387393350919,1.83231680542628,1.67140863524637,1.97185596006033,224.96496581689,36.8216532307015,0,0,0
"4",2020-02-27,7,42,7,30,11,31.6,27.7,-19,-7,7,-39,-23,10,2020-02-27,1.75033496627644,1.74673267702014,1.59279400814013,1.87726477280322,258.367051075708,45.7319887188669,0,0,0
"5",2020-02-28,14,24.9,9.7,42,13,39.8,35.4,-16,-6,32,-37,-24,10,2020-02-28,1.67002394036085,1.66518855208092,1.52338658435116,1.78558011879201,293.955474630631,54.3538926989058,41.6282462283738,14,166
"6",2020-02-29,1,47.5,7.9,70,28,33,20.8,-24,-5,-12,-34,-20,8,2020-02-29,1.58760555851632,1.58505869601678,1.46110347023576,1.71277790294103,331.080525968789,65.0772761059021,2.97344615916956,1,11
"7",2020-03-01,16,90.7,6.5,NA,NA,NA,NA,-33,-9,-38,-40,-14,7,2020-03-01,1.49979526291114,1.49910007676864,1.38699931710618,1.61105599813254,369.00837121271,78.2562104067539,47.575138546713,16,50
"8",2020-03-02,12,92,5,NA,NA,NA,NA,-26,-18,-53,-44,-20,11,2020-03-02,1.41810986386035,1.41912479283039,1.300243694764,1.51345718344924,406.842290204694,92.3506179459678,35.6813539100347,12,46
"9",2020-03-03,35,NA,NA,68,20,32.5,15.9,-13,-1,16,-35,-19,9,2020-03-03,1.34146166570614,1.34239959723797,1.24801863507649,1.44490108080912,443.330390719659,109.037664841997,104.070615570935,35,217
"10",2020-03-04,52,68.5,8.3,72,24,41.2,30.1,-14,-1,46,-34,-19,8,2020-03-04,1.2682876054155,1.26935624593665,1.17107085394444,1.35812676763855,477.321346486763,127.908505277924,154.619200276817,52,444
"11",2020-03-05,52,77.5,6.8,65,22,31.6,24.8,-22,-6,-31,-42,-21,11,2020-03-05,1.19814619292751,1.19683418373076,1.10032200224174,1.27618960125373,507.943381695458,149.606303098282,0,0,0
"12",2020-03-06,70,84.5,5.4,74,27,32,22.4,-20,-2,1,-40,-22,11,2020-03-06,1.13109168465524,1.1290972453519,1.04685800450351,1.20805240928759,534.109279893777,172.918515988208,208.141231141869,70,233
"13",2020-03-07,94,65.2,9.8,80,29,36.2,34.2,-25,-1,54,-31,-19,7,2020-03-07,1.07038480760753,1.06886239330827,0.991277966743584,1.1432255738614,555.544257306094,198.63300514581,279.503938961939,94,259
"14",2020-03-08,45,52,9.5,57,18,37.1,35.8,-48,-1,16,-42,-19,8,2020-03-08,1.01652398501466,1.01728114526148,0.941198640600559,1.08476062646789,571.164539956193,226.450003315537,133.80507716263,45,161
"15",2020-03-09,100,67.5,8.6,76,28,34.8,32.1,-42,-9,-35,-57,-31,16,2020-03-09,0.969540185911818,0.967151416258113,0.899021149019485,1.04138436281391,580.699133664282,255.927593800482,297.344615916956,100,125
"16",2020-03-10,86,61,8.6,72,31,39.4,30.1,-50,-8,-25,-61,-38,20,2020-03-10,0.92646314937191,0.923284614079505,0.855976184992747,0.99364960746465,584.355040522793,286.549039998344,255.716369688582,86,359
"17",2020-03-11,333,64.4,13,50,23,34.8,34.6,-57,-13,-23,-65,-43,22,2020-03-11,0.890498980616535,0.888370206592633,0.813346831009011,0.949463042065158,582.553817237676,317.942966681973,484.835776146524,333,928
"18",2020-03-12,221,78.4,12.3,70,29,30.7,21.2,-74,-26,-62,-74,-52,28,2020-03-12,0.860750120498168,0.855943542821864,0.789207360256788,0.919114578623848,575.761525499928,349.239183674458,500.16850850015,221,597
"19",2020-03-13,161,77.2,14.4,38,14,23.4,33.8,-78,-27,-57,-76,-58,31,2020-03-13,0.834840149961478,0.833746654428413,0.76166801211798,0.888597356326444,564.617997418734,379.809751561075,466.808076160924,161,466
"20",2020-03-14,244,81,10.5,72,26,15.1,26.9,-86,-46,-80,-80,-63,26,2020-03-14,0.811817927414626,0.80882968879419,0.74531705730254,0.864503684184005,549.974081626412,409.045651618846,567.429741950606,244,581
"21",2020-03-15,199,75.1,8.7,65,20,23.4,33.3,-91,-58,-78,-83,-57,22,2020-03-15,0.792925145467918,0.790478665753083,0.727769149776163,0.843766381635134,532.603713545334,436.308492522497,591.715785674743,199,405
"22",2020-03-16,233,60.5,10.1,70,24,26.1,35,-78,-35,-62,-79,-63,30,2020-03-16,0.778105834880941,0.776361262874737,0.714266851711972,0.832278982634368,513.1060176794,460.811413532457,581.911657654915,233,541
"23",2020-03-17,343,64.8,10,97,39,33.4,37.8,-80,-39,-59,-80,-65,32,2020-03-17,0.768546308506733,0.765174161274835,0.707718319639697,0.819915623168061,492.067776267648,482.115584753612,735.617364462286,343,630
"24",2020-03-18,318,55.2,14.8,107,44,36.6,44.3,-82,-42,-67,-81,-66,33,2020-03-18,0.760336664327862,0.758248326510594,0.702092580415058,0.816031238250014,470.121638381806,499.715217476223,795.667761561248,318,540
"25",2020-03-19,634,57.9,14.5,89,41,39.4,46.8,-82,-43,-72,-82,-67,34,2020-03-19,0.757390038021449,0.754081021614045,0.698427370585929,0.810303080897584,447.909080841526,513.491012616875,899.809784261234,634,952
"26",2020-03-20,526,61.8,13.8,102,44,29.8,38.2,-82,-40,-76,-82,-68,36,2020-03-20,0.755894027021239,0.753606135239594,0.69848633493174,0.813561431470026,425.890424991368,523.220743318359,652.015091436896,526,1090
"27",2020-03-21,868,63.1,13.3,70,30,23.8,44.7,-88,-55,-84,-83,-67,27,2020-03-21,0.756577684504344,0.752724004360266,0.697775210516877,0.811285346928681,404.452593137097,528.990946115081,459.735105975198,868,2551
"28",2020-03-22,424,63,11.5,68,25,8.3,32.5,-95,-80,-92,-89,-65,24,2020-03-22,0.757338698689335,0.75619462985326,0.700472484941927,0.811548202107068,383.89170820993,530.874236666143,590.598750849587,424,970
"29",2020-03-23,230,50,5.8,42,17,16.5,29.7,-84,-47,-82,-86,-74,35,2020-03-23,0.762781766763009,0.760544867914908,0.704766614704123,0.819134021175071,364.359062331715,529.17694632882,683.892616608999,230,391
"30",2020-03-24,375,39.6,7.1,57,22,25.2,34.2,-84,-48,-78,-85,-74,36,2020-03-24,0.767238232878859,0.767671625863507,0.711457363629647,0.822986336359735,345.898091039011,524.149906611153,759.633021772853,375,667
"31",2020-03-25,373,56,5.4,55,20,17.4,32.9,-86,-50,-82,-86,-75,37,2020-03-25,0.774473918698973,0.773799085120977,0.709015134970732,0.820901406456051,328.615916023646,516.214212469311,446.388802172754,373,1129
"32",2020-03-26,848,55,5.5,55,20,18.8,28.1,-86,-51,-83,-86,-77,39,2020-03-26,0.783251717737796,0.780134442865431,0.719827581151692,0.834900409168484,312.564507498562,505.748250549989,568.334115400892,848,2016
"33",2020-03-27,547,58,10.5,70,30,20.6,32.1,-86,-47,-82,-86,-77,40,2020-03-27,0.792891625670354,0.789722384159941,0.734950655650118,0.855525596139141,297.728564743307,493.227923113586,399.497439078636,547,1850
"34",2020-03-28,314,57.6,13.6,76,66,25.2,38.2,-89,-59,-85,-85,-70,28,2020-03-28,0.801025039329742,0.799679898542982,0.742549040373291,0.859113107477641,284.116981264196,479.06342113507,430.716807618444,314,985
"35",2020-03-29,546,55.8,14.5,74,63,20.6,42.7,-95,-81,-91,-89,-65,24,2020-03-29,0.810361494254538,0.807899737892969,0.746835320008303,0.862567263425336,271.702474590753,463.707010079133,439.380064538862,546,1679
"36",2020-03-30,347,74.1,12,57,25,17.4,37.8,-85,-48,-82,-85,-75,36,2020-03-30,0.818770203210269,0.817686258215665,0.762789382451988,0.876276685048867,260.367796277687,447.457117536121,426.221341227406,347,1100
"37",2020-03-31,235,68,6,34,10,12.8,30.5,-92,-42,-78,-84,-76,37,2020-03-31,0.827456774324247,0.825202340820248,0.763580733555063,0.881608734160781,249.994671102697,430.736595446961,394.920988384033,235,804
"38",2020-04-01,611,50.1,6.7,61,20,22.4,35,-92,-40,-78,-84,-75,37,2020-04-01,0.83493425300318,0.830780728274225,0.772813854833139,0.892599024308245,240.497450351197,413.830275799933,310.587973708797,611,2658
"39",2020-04-02,482,49,9.2,85,30,29.3,39,-92,-40,-78,-84,-75,38,2020-04-02,0.844124847841723,0.843917119045839,0.783950546386511,0.909794384296626,231.796518009129,397.005393477649,255.290692488532,482,2551
"40",2020-04-03,387,49.5,10.7,102,38,36.6,47.2,-88,-39,-78,-84,-74,39,2020-04-03,0.851235464700672,0.850260210985674,0.784523578075783,0.913067624492957,223.803028359448,380.435100111461,290.65527111685,387,1799
"41",2020-04-04,428,51.5,13.1,102,42,28.8,51.9,-91,-53,-84,-84,-68,28,2020-04-04,0.85806265862209,0.858404669311269,0.792867367525653,0.923390644171864,216.474377430134,364.345213997416,316.34864554869,428,1828
"42",2020-04-05,411,44,14.3,78,28,17,46.8,-96,-77,-90,-88,-64,24,2020-04-05,0.864361706150913,0.86265426204812,0.790733734530941,0.928464805157489,209.750750802981,348.850077714578,222.839505285976,411,2492
"43",2020-04-06,308,44.1,15.6,74,27,32.5,51.9,-86,-39,-77,-83,-71,34,2020-04-06,0.868445477606355,0.869025497589937,0.807203462474373,0.945444471565916,203.545831315224,334.050945885268,291.217111193707,308,1429
"44",2020-04-07,249,37,15.5,80,35,36.2,54.5,-85,-39,-75,-83,-72,35,2020-04-07,0.87134220654759,0.870418947324341,0.807590285790746,0.945783403277517,197.799094224293,320.019944514876,246.109985184298,249,1367
"45",2020-04-08,252,42,14,72,30,31.6,52.6,-85,-37,-77,-83,-71,35,2020-04-08,0.872531946289592,0.874081050098078,0.804576043605074,0.935423418777152,192.42734795834,306.765303411491,178.826550184409,252,1904
"46",2020-04-09,440,33.5,17.5,70,27,31.1,55.2,-84,-33,-77,-83,-71,35,2020-04-09,0.871824997665039,0.871023582168478,0.80679259222794,0.942716564534932,187.338104397971,294.318627714027,199.563253198968,440,2979
"47",2020-04-10,269,37,18,63,30,32,56.5,-84,-29,-77,-82,-73,38,2020-04-10,0.870959683609766,0.873290101623041,0.801174320371946,0.937423009115693,182.455115020036,282.664729647226,179.661408028407,269,2023
"48",2020-04-11,520,34.3,18.1,59,22,28.4,56.5,-89,-47,-83,-82,-67,27,2020-04-11,0.867635045097825,0.867343195775722,0.794509320609982,0.934376225922053,177.707047274456,271.799944434261,209.104061326743,520,3360
"49",2020-04-12,412,25.4,17.4,38,12,14.2,43.1,-97,-95,-91,-90,-68,25,2020-04-12,0.863482068653442,0.862259574481506,0.782875082169231,0.925684857689516,173.046887031074,261.654729978213,207.016430311409,412,2689
